tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20251016,2344,華邦電,41.1,44.0,41.1,44.0,+,4.0,437429618,19028495936.0,65396010,1838000,9010520,119951612,2081000,13953693,54555602,243000,4943173
20251016,2317,鴻海,215.0,225.5,211.5,223.0,+,16.5,154273795,33877031923.0,55938611,-559000,5733401,81773041,1989000,6852923,25834430,2548000,1119522
20251016,00919,群益台灣精選高息,21.25,21.43,21.25,21.35,+,0.14,74084304,1583555621.0,27090377,0,18083145,27945795,0,19656903,855418,0,1573758
20251016,00940,元大台灣價值高息,9.42,9.5,9.42,9.47,+,0.07,47646259,451484126.0,3662000,0,35199451,4446000,0,39046109,784000,0,3846658
20251016,2408,南亞科,89.2,94.9,89.2,94.9,+,8.6,139293308,13102584977.0,25248978,3548000,2457182,35640033,3618000,4220014,10391055,70000,1762832
20251016,00882,中信中國高股息,14.31,14.56,14.31,14.46,+,0.25,36924972,534444521.0,4899900,0,18397894,4923000,0,23097617,23100,0,4699723
20251016,00929,復華台灣科技優息,18.4,18.64,18.4,18.53,+,0.21,28848755,535399001.0,3617122,0,19075958,4105122,0,21689140,488000,0,2613182
20251016,00878,國泰永續高股息,21.35,21.41,21.32,21.35,+,0.16,44234443,945257881.0,8146294,0,14441976,8591416,0,16232692,445122,0,1790716
20251016,3037,欣興,160.0,168.0,160.0,165.5,+,7.0,66717955,10991406942.0,15359905,1636000,246705,33336210,1652000,1154100,17976305,16000,907395
20251016,3711,日月光投控,180.0,191.5,180.0,191.5,+,13.5,53001009,9963266158.0,15757925,-95067,1229736,37483833,116000,1722297,21725908,211067,492561
20251016,0056,元大高股息,36.91,37.21,36.91,37.19,+,0.52,49356011,1829868039.0,11910598,1000000,3469290,15357376,1000000,3642000,3446778,0,172710
20251016,00918,大華優利高填息30,22.4,22.5,22.38,22.49,+,0.26,18878214,423844264.0,1214000,0,13343245,1473000,0,13930317,259000,0,587072
20251016,00941,中信上游半導體,16.0,16.06,16.0,16.05,+,0.12,13634328,218604859.0,5199000,0,7691725,5259000,0,7841725,60000,0,150000
20251016,2337,旺宏,26.15,27.8,26.15,27.0,+,1.1,83479419,2267364354.0,10495150,0,672771,34388000,0,2868769,23892850,0,2195998
