tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260206,6770,力積電,62.7,66.3,60.0,63.5,+,0.7,340736299,21640886801.0,40896511,746000,387143,111945991,746000,6050256,71049480,0,5663113
20260206,3576,聯合再生,15.55,16.05,14.2,15.9,+,1.05,141850551,2194447068.0,21589087,0,-170934,30225177,0,5000,8636090,0,175934
20260206,3481,群創,21.2,22.5,20.8,21.8,,0.0,322639610,6990033225.0,18122490,162160,-1689553,122322252,214100,4236651,104199762,51940,5926204
20260206,3711,日月光投控,303.0,309.0,298.0,304.5,+,20.5,53071048,16138450140.0,15656623,857836,-116433,38380225,1530000,878217,22723602,672164,994650
20260206,2408,南亞科,260.0,277.5,251.0,264.0,-,11.0,133131168,34838843909.0,18008277,128385,-2819436,52308406,299000,1743342,34300129,170615,4562778
20260206,2303,聯電,61.1,62.6,59.9,61.9,+,0.4,121007881,7438477623.0,8403513,2770246,1183657,59281835,2852033,2169378,50878322,81787,985721
20260206,00882,中信中國高股息,15.76,15.83,15.62,15.81,+,0.05,13846482,218333822.0,1845000,0,9030808,2030000,0,10224416,185000,0,1193608
20260206,2887,台新新光金,23.05,23.35,22.8,23.35,+,0.25,59371673,1373642621.0,10481139,819000,-514586,39438107,1074000,854749,28956968,255000,1369335
20260206,2618,長榮航,38.55,38.65,38.2,38.6,+,0.15,24332428,936823374.0,10945219,-10000,-482979,18787883,0,184853,7842664,10000,667832
20260206,1605,華新,35.55,35.8,33.8,34.4,-,1.85,107369946,3688596296.0,21163470,-9499036,-1799151,52370470,608000,1035251,31207000,10107036,2834402
20260206,2344,華邦電,100.0,102.0,95.0,97.8,-,4.7,234055621,22942958988.0,14341108,-2803621,-3285082,82258011,642000,2135806,67916903,3445621,5420888
20260206,6285,啟碁,172.0,178.0,168.5,175.0,-,12.0,43814227,7492165175.0,8052845,-86000,-1216827,15221908,18000,496089,7169063,104000,1712916
20260206,2313,華通,168.0,178.0,167.0,172.0,-,4.0,91673587,15806218604.0,7512235,172000,-1321484,38087562,297000,846691,30575327,125000,2168175
