tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20250915,2408,南亞科,60.1,63.1,57.4,63.1,+,5.7,254694617,15523049646.0,36962878,25000,4498188,75766100,87000,7228234,38803222,62000,2730046
20250915,00940,元大台灣價值高息,9.44,9.45,9.39,9.41,-,0.03,36886856,347618138.0,2930000,0,25197281,3292000,0,29362237,362000,0,4164956
20250915,2887,台新新光金,17.3,17.5,17.3,17.45,+,0.15,55447336,965759663.0,29489343,-4275000,-706162,37645334,145000,538838,8155991,4420000,1245000
20250915,00878,國泰永續高股息,21.03,21.11,21.01,21.05,+,0.05,69456400,1463030223.0,-5079740,0,23678906,6508176,0,31956079,11587916,0,8277173
20250915,00924,復華S&P500成長,27.11,27.14,26.97,27.05,+,0.01,20917916,565521111.0,7959361,0,9356873,8038361,0,10727999,79000,0,1371126
20250915,2891,中信金,42.8,43.35,42.8,43.15,+,0.35,41934065,1809617434.0,20142978,-4271070,-140637,34604984,173000,730407,14462006,4444070,871044
20250915,0056,元大高股息,36.3,36.38,36.16,36.22,+,0.04,33388753,1211029693.0,-7886,300000,13111687,1750016,300000,13641555,1757902,0,529868
20250915,00929,復華台灣科技優息,18.38,18.4,18.22,18.3,-,0.05,25855733,473847407.0,-3029182,0,14824315,346318,0,18426768,3375500,0,3602453
20250915,00882,中信中國高股息,14.36,14.4,14.22,14.24,-,0.12,19577120,279228433.0,944100,0,10672474,1142100,0,11549000,198000,0,876526
20250915,1802,台玻,26.05,26.3,25.25,25.65,-,0.3,42780118,1097345262.0,10138300,0,-530668,18571000,0,1863278,8432700,0,2393946
20250915,2881,富邦金,88.5,89.8,88.5,88.8,+,0.3,17297881,1542619127.0,6191451,1995546,253055,10542171,2928000,359055,4350720,932454,106000
20250915,2882,國泰金,65.2,66.5,65.2,65.4,-,0.1,22839807,1500668362.0,8863539,-981419,308517,17186654,9000,698629,8323115,990419,390112
20250915,00961,FT臺灣永續高息,9.26,9.29,9.21,9.22,,0.0,11797260,109131587.0,3833109,0,3711902,3833109,0,4708230,0,0,996328
20250915,00903,富邦元宇宙,16.37,16.42,16.36,16.39,+,0.2,7957397,130346967.0,3031000,0,3956985,3060000,0,4794985,29000,0,838000
20250915,2317,鴻海,218.5,218.5,213.0,216.0,-,1.5,56651315,12223562936.0,5727413,17695,567131,27483656,245000,1283789,21756243,227305,716658
20250915,00885,富邦越南,16.2,16.26,16.16,16.26,+,0.17,11955955,193895175.0,3809900,0,2500444,4095000,0,3704444,285100,0,1204000
20250915,00939,統一台灣高息動能,14.03,14.09,14.0,14.0,-,0.02,8563274,120268725.0,762000,0,5378344,764000,0,7269344,2000,0,1891000
20250915,2449,京元電子,166.0,167.0,163.0,166.5,+,0.5,21808385,3605836174.0,6208440,-1012442,-174349,13236862,37000,396721,7028422,1049442,571070
20250915,00927,群益半導體收益,18.95,19.0,18.81,18.95,+,0.14,7530186,142606450.0,570000,0,4334622,730000,0,6261920,160000,0,1927298
20250915,00941,中信上游半導體,14.27,14.32,14.27,14.3,+,0.04,4846183,69319837.0,2802000,0,1748226,2802000,0,1848226,0,0,100000
20250915,2356,英業達,43.8,43.9,43.2,43.6,+,0.2,15515635,674754829.0,4375171,-36000,-265786,9829300,1000,91118,5454129,37000,356904
20250915,00915,凱基優選高股息30,22.73,22.85,22.71,22.72,+,0.04,5721315,130294879.0,120000,0,3849491,140000,0,4479168,20000,0,629677
20250915,2374,佳能,95.6,101.5,93.5,97.5,+,2.2,54173728,5277899664.0,3519725,0,392551,15788100,0,731053,12268375,0,338502
20250915,2201,裕隆,33.2,35.15,33.2,34.65,+,1.65,10049718,347234604.0,3605000,28000,189570,5934000,28000,277570,2329000,0,88000
20250915,2498,宏達電,66.9,66.9,63.0,63.1,-,3.4,46223368,2975316204.0,4711141,-11000,-977914,12677141,1000,589629,7966000,12000,1567543
20250915,00830,國泰費城半導體,46.8,46.97,46.77,46.97,+,0.38,7812925,366030605.0,1774393,0,1935275,1832623,0,3315420,58230,0,1380145
20250915,4904,遠傳,85.3,85.8,85.3,85.8,+,0.9,6810616,582592786.0,4576043,-518177,-500449,6558260,6000,29551,1982217,524177,530000
20250915,8021,尖點,85.1,85.6,81.4,83.6,-,1.7,13783280,1144762895.0,3254792,0,-1559,5474050,0,4564,2219258,0,6123
20250915,00902,中信電池及儲能,10.67,11.07,10.66,10.89,+,0.22,6878374,75274298.0,1895000,0,1250373,1982000,0,3373708,87000,0,2123335
20250915,6191,精成科,126.5,127.5,120.0,121.5,-,5.0,18106248,2224496096.0,3078828,1000,-158666,6698848,1000,86085,3620020,0,244751
20250915,3704,合勤控,36.8,36.95,35.2,35.95,-,0.75,7355056,263354263.0,2675980,0,-156082,3667000,0,32000,991020,0,188082
20250915,2885,元大金,34.6,34.9,34.45,34.45,-,0.15,15189621,525966236.0,2735926,-366686,-94679,11488565,887000,606080,8752639,1253686,700759
20250915,2834,臺企銀,15.4,15.45,15.35,15.35,-,0.05,10938476,168279131.0,2227314,-315813,177000,5092750,4000,177000,2865436,319813,0
20250915,3231,緯創,121.0,121.0,118.5,119.5,-,0.5,20920079,2498117355.0,1904560,-206000,234069,10349040,23000,700633,8444480,229000,466564
20250915,3711,日月光投控,167.5,168.0,165.0,166.5,-,0.5,8720930,1452935387.0,1255566,645000,-96207,5576201,943000,81000,4320635,298000,177207
20250915,2481,強茂,72.3,73.5,70.3,72.2,-,1.0,22629099,1626643763.0,572000,1768000,-573266,5738100,1768000,407333,5166100,0,980599
20250915,00893,國泰智能電動車,27.6,28.07,27.6,28.0,+,0.69,5812326,162229493.0,1721200,0,-17714,1786200,0,2946989,65000,0,2964703
20250915,4958,臻鼎-KY,171.0,171.0,163.5,166.0,-,3.0,12030872,2017498054.0,2372553,-12000,-700604,6794221,2000,62600,4421668,14000,763204
20250915,2402,毅嘉,56.0,56.0,53.7,54.1,-,1.9,7365516,400527546.0,1822000,1000,-168984,3018000,1000,15000,1196000,0,183984
20250915,00946,群益科技高息成長,10.37,10.37,10.2,10.29,-,0.08,4727533,48641293.0,208000,0,1379811,287000,0,3182628,79000,0,1802817
20250915,2441,超豐,62.1,62.7,61.8,62.3,+,0.7,3019431,188169417.0,1900694,-307000,-34455,2124000,0,42000,223306,307000,76455
20250915,2542,興富發,45.4,45.6,44.9,45.35,+,0.3,4292225,194144123.0,1502940,0,3938,2276000,0,141392,773060,0,137454
20250915,00934,中信成長高股息,20.16,20.17,19.96,20.04,-,0.11,2564933,51451059.0,216000,0,1279731,451000,0,1453834,235000,0,174103
20250915,2352,佳世達,31.3,32.0,31.15,31.45,+,0.45,11761097,372428795.0,1424000,18000,52011,3426000,42000,174474,2002000,24000,122463
20250915,3037,欣興,145.5,145.5,141.5,142.0,-,2.5,12585488,1797955212.0,1599591,8000,-139822,6105669,34000,169457,4506078,26000,309279
20250915,00951,台新日本半導體,9.06,9.07,9.04,9.04,-,0.02,1796425,16268249.0,-1000,0,1462550,0,0,1463000,1000,0,450
20250915,6213,聯茂,115.0,115.0,109.0,111.0,-,3.5,10281352,1144264658.0,3756010,-1620000,-782681,5822010,0,111565,2066000,1620000,894246
20250915,8033,雷虎,163.0,171.0,150.5,151.5,-,14.0,32674876,5189075222.0,1789895,0,-464980,8992265,0,166443,7202370,0,631423
20250915,2476,鉅祥,112.0,112.0,105.5,107.5,-,5.0,7166618,775614213.0,1523070,0,-205628,2632100,0,22987,1109030,0,228615
20250915,00923,群益台ESG低碳50,22.8,22.81,22.69,22.74,-,0.01,4304915,97954715.0,271050,0,1008449,288050,0,2502916,17000,0,1494467
20250915,2231,為升,139.5,142.5,132.0,134.5,-,5.0,4431970,603362432.0,1334000,0,-88979,2075000,0,91789,741000,0,180768
20250915,1101,台泥,22.45,22.6,22.3,22.35,,0.0,19014937,425989302.0,974431,-147000,307479,9776050,63000,397694,8801619,210000,90215
20250915,00891,中信關鍵半導體,18.23,18.28,18.1,18.17,-,0.03,4076989,74112847.0,317187,0,801022,327187,0,1901026,10000,0,1100004
20250915,2809,京城銀,57.7,57.7,57.2,57.2,-,0.4,1808659,103697706.0,-131960,-103081,1327916,334040,0,1328000,466000,103081,84
20250915,2838,聯邦銀,17.35,17.6,17.35,17.5,+,0.15,1597249,27902747.0,969000,4000,60000,1274000,4000,60000,305000,0,0
20250915,2645,長榮航太,185.0,186.0,175.0,176.0,-,9.5,9168421,1639712404.0,1207710,-103000,-75737,4450010,1000,98617,3242300,104000,174354
20250915,2886,兆豐金,41.75,41.8,41.3,41.45,-,0.1,10990025,456437721.0,1588845,-263068,-299550,8118918,7000,265000,6530073,270068,564550
20250915,00713,元大台灣高息低波,51.85,51.95,51.8,51.85,+,0.1,8446647,438198732.0,-1102725,0,2100011,138275,0,2905000,1241000,0,804989
20250915,5469,瀚宇博,79.5,79.5,76.1,77.5,-,1.6,4622303,357152054.0,900000,1000,67549,1569000,1000,112425,669000,0,44876
20250915,2451,創見,114.0,117.5,112.0,116.5,+,5.5,4035506,466628823.0,879000,-19380,94535,1843000,1000,143862,964000,20380,49327
20250915,2328,廣宇,56.2,56.6,54.0,54.3,-,2.2,18257734,1002340647.0,1360700,0,-497751,4919000,0,215114,3558300,0,712865
