tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260128,00940,元大台灣價值高息,9.91,9.92,9.87,9.9,+,0.03,92885738,919083586.0,5015400,0,71547936,5919000,0,73309936,903600,0,1762000
20260128,6770,力積電,61.7,65.4,61.7,65.4,+,5.9,361651007,23172906909.0,58115583,-3530000,6824087,105710156,854000,8912647,47594573,4384000,2088560
20260128,1605,華新,40.95,44.35,40.75,43.0,+,2.4,260944518,11174113889.0,41499392,9310000,5442861,95532966,9312000,7857761,54033574,2000,2414900
20260128,00929,復華台灣科技優息,20.52,20.6,20.43,20.5,+,0.15,71702250,1471785849.0,-2067090,0,54560304,2409294,0,58835857,4476384,0,4275553
20260128,2337,旺宏,81.7,83.8,81.4,83.8,+,7.6,208678746,17368049607.0,41522484,1859000,-3335289,55860457,1859000,4703469,14337973,0,8038758
20260128,00878,國泰永續高股息,23.58,23.63,23.47,23.51,+,0.02,85691927,2015794690.0,13237523,0,25422561,14720523,0,31903623,1483000,0,6481062
20260128,00919,群益台灣精選高息,24.43,24.49,24.23,24.3,+,0.04,73735741,1795147815.0,7935393,0,22496898,14022650,0,27140372,6087257,0,4643474
20260128,0056,元大高股息,38.7,38.79,38.52,38.62,+,0.11,56201100,2170292965.0,9713473,0,17089485,13551796,0,18164427,3838323,0,1074942
20260128,1303,南亞,80.1,83.5,79.6,80.5,+,0.9,132427952,10754574020.0,23469008,607662,-3864674,54033686,905000,1519294,30564678,297338,5383968
20260128,00882,中信中國高股息,15.31,15.6,15.27,15.57,+,0.3,25110587,388941968.0,5385000,0,13572749,5586000,0,16398749,201000,0,2826000
20260128,2002,中鋼,19.35,19.6,19.25,19.6,+,0.25,50011925,972943697.0,15059576,-353000,2756540,30026100,0,2796298,14966524,353000,39758
20260128,1326,台化,40.8,44.6,40.45,44.1,+,3.55,97128134,4164631129.0,11647628,1861000,1157723,35280082,1861000,2797111,23632454,0,1639388
20260128,2408,南亞科,288.0,299.5,285.0,297.0,+,20.0,118256822,34646841366.0,13426952,634001,-1158028,37466992,1313001,1532764,24040040,679000,2690792
20260128,8112,至上,79.9,82.8,79.8,80.8,+,2.0,40223157,3271879484.0,12264000,-103048,321915,18973000,0,1130972,6709000,103048,809057
20260128,00900,富邦特選高股息30,14.63,14.68,14.58,14.62,+,0.03,19001784,277692874.0,5296921,0,6878516,5491000,0,8852354,194079,0,1973838
20260128,2344,華邦電,120.5,127.0,120.0,127.0,+,11.5,183205546,22925295243.0,3515507,6551000,1132111,29116306,6551000,1680413,25600799,0,548302
20260128,2027,大成鋼,38.1,39.1,37.55,38.7,+,0.85,42260282,1626711549.0,10818990,0,54865,18807100,0,646040,7988110,0,591175
20260128,00939,統一台灣高息動能,16.07,16.15,16.03,16.15,+,0.14,13225975,213144713.0,2659000,0,7650502,2779000,0,8711287,120000,0,1060785
20260128,1101,台泥,26.1,26.45,25.85,26.35,+,0.3,33189771,872561370.0,9690988,-6000,79321,18347772,0,494597,8656784,6000,415276
20260128,00712,復華富時不動產,9.7,9.73,9.7,9.7,+,0.05,16872309,163904605.0,3812960,0,5167204,3823000,0,5712999,10040,0,545795
20260128,2481,強茂,91.0,95.6,90.7,93.2,+,3.9,28748440,2688313315.0,8223200,450961,196730,14915200,452001,819450,6692000,1040,622720
20260128,2330,台積電,1790.0,1820.0,1790.0,1820.0,+,40.0,31327933,56586009010.0,7713579,663992,385704,20965596,915601,787297,13252017,251609,401593
20260128,00881,國泰台灣科技龍頭,34.83,35.01,34.76,34.98,+,0.46,26031670,908966649.0,5299101,0,2628810,7287101,0,6443563,1988000,0,3814753
