tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260807,2618,長榮航,43.2,44.6,42.8,44.4,+,1.15,37423508,1653113451.0,22000373,127000,496096,28462330,130000,716044,6461957,3000,219948
20260807,1216,統一,73.6,75.7,73.5,75.7,+,2.7,27739254,2078994676.0,20335509,-97000,-4412,25137124,0,160706,4801615,97000,165118
20260807,2409,友達,24.55,25.0,24.1,24.55,,0.0,145598796,3580908559.0,13144500,-2000,4462247,51808023,0,5969583,38663523,2000,1507336
20260807,2887,台新新光金,35.4,35.5,34.8,35.15,+,0.65,31040680,1091953402.0,14196618,55000,232392,25291494,62000,496000,11094876,7000,263608
20260807,1402,遠東新,26.9,27.6,26.9,27.5,+,0.5,21204464,578551081.0,14004021,120000,196254,16099834,120000,277714,2095813,0,81460
20260807,2610,華航,22.05,22.55,22.0,22.5,+,0.35,30516637,683573250.0,6171434,6997000,237000,17228929,6997000,358000,11057495,0,121000
20260807,2002,中鋼,19.05,19.2,19.0,19.05,+,0.05,28960100,553043288.0,12050525,0,-182149,21492595,0,247277,9442070,0,429426
20260807,8112,至上,89.9,91.9,88.8,91.2,+,2.2,22269743,2020024232.0,8478001,-49635,132924,12469207,1365,545854,3991206,51000,412930
20260807,3231,緯創,188.0,188.0,180.5,183.5,-,6.0,65415961,12025123891.0,17158210,-10276000,861453,30815907,1223000,1727031,13657697,11499000,865578
20260807,2867,三商壽,9.77,9.86,9.74,9.81,+,0.04,11713115,114726897.0,6380713,0,361000,9092713,0,400000,2712000,0,39000
20260807,6213,聯茂,384.5,401.0,366.0,389.0,+,14.0,50764820,19667850875.0,5801407,1073000,-268247,18068659,1113000,678901,12267252,40000,947148
20260807,2891,中信金,65.7,65.7,64.7,65.6,+,1.0,16259888,1061679484.0,6209635,-181000,93719,13671803,67000,303528,7462168,248000,209809
20260807,2027,大成鋼,45.95,46.85,45.9,46.6,+,0.5,16824504,782189935.0,1783441,4865000,-541193,6281861,5000000,122761,4498420,135000,663954
20260807,2606,裕民,64.3,67.5,64.1,67.5,+,3.1,8539793,566425996.0,5583726,-14000,291258,6887388,0,351168,1303662,14000,59910
20260807,2014,中鴻,17.1,17.7,17.1,17.65,+,0.5,8370744,146614489.0,5766000,0,-17000,5935000,0,52000,169000,0,69000
20260807,2354,鴻準,62.7,64.8,60.8,61.8,+,0.8,81425427,5108412580.0,4273007,0,428368,22690562,0,1298265,18417555,0,869897
20260807,2882,國泰金,99.4,100.5,98.5,99.4,+,1.9,14079089,1398104309.0,4316898,-2000,60866,11913356,0,253212,7596458,2000,192346
20260807,6269,台郡,64.5,70.8,64.4,66.6,+,2.1,16400299,1115653307.0,3972980,0,307951,7605050,0,521538,3632070,0,213587
20260807,2031,新光鋼,42.8,45.0,42.5,45.0,+,4.05,10470044,465006540.0,4147307,-1000,116902,5283030,0,130889,1135723,1000,13987
20260807,2603,長榮,205.5,207.5,204.0,207.5,+,3.5,6028826,1242614775.0,2472468,1183000,-71406,3485764,1204000,68954,1013296,21000,140360
20260807,4763,材料*-KY,50.0,51.7,49.5,49.9,+,0.25,13796150,695582727.0,3285176,0,52200,5868392,0,268884,2583216,0,216684
20260807,1101,台泥,24.3,24.75,24.3,24.35,,0.0,18367476,450087960.0,3459974,-2000,-158560,10731900,0,150001,7271926,2000,308561
20260807,5880,合庫金,26.1,26.25,26.05,26.2,+,0.1,15150397,396012951.0,3220840,0,27000,6538344,0,40000,3317504,0,13000
20260807,2881,富邦金,127.0,128.0,126.0,127.0,+,1.0,10827608,1373943065.0,3370012,-140000,15799,8077207,0,224020,4707195,140000,208221
20260807,2010,春源,22.1,23.25,22.1,22.95,+,1.5,5800301,132774998.0,3085110,0,75015,3784110,0,136015,699000,0,61000
20260807,2034,允強,19.1,20.45,19.1,20.1,+,1.2,4762853,95442599.0,2946492,0,65610,3251567,0,78610,305075,0,13000
20260807,2885,元大金,68.6,68.7,67.4,67.7,+,0.6,13749095,933494244.0,2635069,351000,-25364,10745801,600000,50933,8110732,249000,76297
20260807,2451,創見,295.0,301.0,291.5,297.0,+,4.0,9750484,2886966146.0,3001646,-4000,-80637,5393021,7000,50785,2391375,11000,131422
20260807,2006,東和鋼鐵,85.6,88.5,85.3,88.5,+,2.3,7445964,652507399.0,2988350,-13000,-70778,5358989,0,48292,2370639,13000,119070
20260807,8422,可寧衛*,26.15,26.75,26.1,26.3,+,0.15,6307370,166715465.0,2605735,-25000,282215,3907735,0,290450,1302000,25000,8235
20260807,9945,潤泰新,26.4,26.95,26.4,26.75,+,0.4,5745157,153717211.0,2558147,0,179386,4624117,0,185386,2065970,0,6000
20260807,2547,日勝生,10.4,10.7,10.4,10.65,+,0.3,3901027,41441113.0,2504457,0,66000,2823457,0,326000,319000,0,260000
20260807,2504,國產,30.4,31.0,30.15,30.75,+,0.35,5604015,170919014.0,2493149,0,69829,3149149,0,73000,656000,0,3171
20260807,2049,上銀,370.0,398.0,368.0,387.0,+,25.0,17347288,6737572253.0,3854924,-1540000,247362,7550257,29000,736283,3695333,1569000,488921
20260807,00940,元大台灣價值高息,12.41,12.47,12.34,12.4,-,0.05,7229920,89696081.0,-1690995,0,4183095,394005,0,4327670,2085000,0,144575
20260807,2408,南亞科,456.5,463.0,445.0,457.0,-,2.0,70547660,32106124944.0,2147570,-21000,365468,22887281,148000,1465309,20739711,169000,1099841
20260807,2890,永豐金,39.05,39.25,38.8,38.95,+,0.25,8967206,349826571.0,2427705,33000,15985,7569424,37000,119667,5141719,4000,103682
20260807,00900,富邦特選高股息30,18.66,18.75,18.6,18.64,-,0.03,4082408,76284628.0,990036,0,1391132,1598036,0,1968766,608000,0,577634
20260807,00919,群益台灣精選高息,29.76,29.79,29.57,29.74,+,0.14,32346951,960688961.0,-6548206,0,8875267,3586014,0,12227122,10134220,0,3351855
20260807,2301,光寶科,256.0,268.0,244.0,247.0,-,5.5,33004584,8382355108.0,2128749,20000,147811,16005207,20000,695676,13876458,0,547865
20260807,2637,慧洋-KY,85.8,88.4,85.3,87.9,+,2.4,3855091,338197481.0,2268589,-82000,40650,2823692,0,61650,555103,82000,21000
20260807,00830,國泰費城半導體,86.4,86.7,85.95,86.35,+,0.45,4384795,377900957.0,2637011,0,-481613,2872111,0,160965,235100,0,642578
20260807,9904,寶成,23.75,24.1,23.75,23.9,+,0.15,17390198,416397546.0,2078735,123000,-93111,9271150,136000,471000,7192415,13000,564111
20260807,1608,華榮,34.5,35.8,34.5,34.95,+,0.55,8807920,309294492.0,2013439,-2000,45955,3619095,0,57219,1605656,2000,11264
20260807,5522,遠雄,64.0,65.0,63.6,64.1,+,0.3,3062925,196248438.0,1935000,7000,37000,2343000,12000,42000,408000,5000,5000
20260807,2330,台積電,2390.0,2395.0,2355.0,2370.0,+,5.0,24414025,57947015347.0,641660,61000,1242950,15796298,368000,1452965,15154638,307000,210015
20260807,3045,台灣大,110.5,111.5,110.0,111.5,+,1.0,7046434,780517367.0,1724407,105063,8989,4719552,108063,29000,2995145,3000,20011
20260807,3006,晶豪科,255.0,263.5,250.5,256.5,-,1.5,19500692,5033879777.0,1792250,15000,21835,7959936,15000,236816,6167686,0,214981
20260807,4566,時碩工業,69.8,76.3,69.8,76.3,+,6.9,9812354,743755645.0,1801000,0,17282,2658000,0,44282,857000,0,27000
20260807,2515,中工,11.8,12.1,11.8,11.95,+,0.1,4319311,51797234.0,1758701,0,54000,2757183,0,63000,998482,0,9000
20260807,2101,南港,34.45,36.25,34.45,35.5,+,0.9,3926728,139788732.0,1721930,0,72914,2255308,0,79917,533378,0,7003
20260807,2412,中華電,137.0,138.0,136.5,137.5,+,0.5,6922457,949349048.0,1407518,369876,-27000,4362785,384876,73000,2955267,15000,100000
20260807,4904,遠傳,101.5,103.5,101.0,103.0,+,1.0,6077516,623950789.0,944453,763000,40338,4052850,763000,144000,3108397,0,103662
20260807,9907,統一實,14.4,14.7,14.4,14.6,+,0.2,3505833,50850106.0,1720000,-8000,21000,2242000,0,21000,522000,8000,0
20260807,3605,宏致,108.0,113.0,104.5,107.5,-,0.5,11193035,1209200628.0,1821650,0,-94307,4524454,0,166322,2702804,0,260629
20260807,4142,國光生,17.15,17.8,17.15,17.7,+,0.55,2200960,38709274.0,1706130,0,12273,1835130,0,12273,129000,0,0
20260807,2371,大同,25.5,26.0,25.5,25.95,+,0.5,6981182,180454634.0,1711103,0,-29623,4162323,0,30377,2451220,0,60000
