tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260518,00940,元大台灣價值高息,10.84,11.02,10.8,10.98,+,0.03,45188618,494004408.0,-3978400,0,29045233,5290000,0,36207320,9268400,0,7162087
20260518,00919,群益台灣精選高息,25.43,25.74,25.25,25.64,-,0.12,102797168,2624590279.0,-343761,0,20363091,20294439,0,31537209,20638200,0,11174118
20260518,00918,大華優利高填息30,25.22,25.6,25.11,25.51,+,0.16,33676105,854845051.0,1203000,0,18434969,5794000,0,23168239,4591000,0,4733270
20260518,2313,華通,234.0,259.0,233.5,259.0,+,23.5,97275864,24418174410.0,13246973,2297000,668957,33973472,2524000,1148485,20726499,227000,479528
20260518,00929,復華台灣科技優息,25.22,25.79,24.93,25.7,-,0.08,38060582,965171628.0,1953251,0,9183367,11169251,0,16810845,9216000,0,7627478
20260518,2355,敬鵬,52.2,57.7,51.6,57.7,+,5.2,32456209,1845874162.0,10321100,-6000,166698,13303100,0,335703,2982000,6000,169005
20260518,2485,兆赫,66.7,74.1,66.3,73.0,+,4.7,67032895,4809284099.0,8088116,0,464208,19254575,0,741189,11166459,0,276981
20260518,2615,萬海,74.5,78.3,74.4,76.9,+,2.7,16577354,1276720620.0,7066824,0,87928,10672600,0,285233,3605776,0,197305
20260518,2409,友達,18.8,19.5,18.2,19.25,+,0.2,207880657,3909620018.0,6297953,7000,738886,77426478,7000,4156951,71128525,0,3418065
20260518,0056,元大高股息,44.01,44.75,43.66,44.5,+,0.05,59831020,2644982067.0,5628177,380000,139796,18513493,380000,3638595,12885316,0,3498799
20260518,3045,台灣大,114.5,115.5,114.0,114.0,-,0.5,12851766,1473428680.0,5850671,-180000,212836,9531529,3000,248411,3680858,183000,35575
20260518,00662,富邦NASDAQ,117.55,118.0,117.15,117.8,-,1.0,16545543,1945182803.0,3075544,0,2635741,3826544,0,8132000,751000,0,5496259
20260518,2542,興富發,43.6,44.75,43.4,44.6,+,0.85,19426031,861740481.0,5337355,29500,242937,10513090,29500,393572,5175735,0,150635
20260518,00900,富邦特選高股息30,16.51,16.8,16.38,16.69,+,0.01,10233285,169825832.0,1102000,0,4261051,2047000,0,5838015,945000,0,1576964
20260518,2027,大成鋼,39.5,41.0,39.25,39.4,-,0.45,37468752,1499151163.0,6697316,-697000,-647012,19946535,100000,205904,13249219,797000,852916
