tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260713,2618,長榮航,40.0,41.25,39.8,40.75,+,1.15,92302029,3743117866.0,58019569,-2892598,109321,77372730,351376,1424727,19353161,3243974,1315406
20260713,2891,中信金,70.1,70.2,66.1,66.5,-,0.9,108347523,7264601730.0,41021324,70905,-15362980,69657117,275551,1944580,28635793,204646,17307560
20260713,4958,臻鼎-KY,616.0,646.0,614.0,646.0,+,58.0,72309919,46207604908.0,21044750,4007276,442604,31709683,4232276,3138418,10664933,225000,2695814
20260713,2610,華航,21.0,21.45,20.9,21.05,+,0.45,43973194,928682407.0,21428258,372124,1450284,28984799,394000,1803000,7556541,21876,352716
20260713,2332,友訊,24.85,26.45,23.9,25.95,+,1.9,131450187,3382455664.0,22426474,0,-854960,47242201,0,1063167,24815727,0,1918127
20260713,2634,漢翔,61.6,63.8,61.2,63.8,+,5.8,64428045,4097880280.0,15428471,0,927562,18188100,0,1105092,2759629,0,177530
20260713,00712,復華富時不動產,8.81,8.92,8.81,8.87,+,0.08,22524362,199840758.0,13005000,0,1798137,13250000,0,2497999,245000,0,699862
20260713,5876,上海商銀,43.2,44.4,43.15,44.15,+,1.35,25943112,1140055454.0,12298208,-8000,716649,22342936,343000,739649,10044728,351000,23000
20260713,2886,兆豐金,46.7,47.3,46.55,47.0,+,0.3,26920661,1265722915.0,3231086,8661067,688416,13407430,8676709,942141,10176344,15642,253725
20260713,2313,華通,228.0,245.0,225.0,235.0,+,12.0,64090809,15077679721.0,7840358,3350000,1203158,26717592,3352000,2267772,18877234,2000,1064614
20260713,6505,台塑化,60.5,64.4,60.5,63.1,+,4.3,33452848,2113123374.0,8886683,889148,925612,17835933,889148,1094218,8949250,0,168606
20260713,5880,合庫金,25.0,25.3,25.0,25.2,+,0.05,19660420,495135171.0,10121230,196811,328018,15130422,211720,369018,5009192,14909,41000
20260713,3045,台灣大,111.0,111.5,108.5,109.5,+,1.0,19694998,2152047457.0,9723733,559758,299131,13971545,716758,598484,4247812,157000,299353
20260713,1301,台塑,56.0,60.2,56.0,60.2,+,5.4,52147050,3105960053.0,8131428,0,841566,16591000,0,1191366,8459572,0,349800
20260713,2347,聯強,80.7,84.3,80.7,82.5,,0.0,23067205,1901665210.0,11472068,6000,-3648654,15874068,195000,2462022,4402000,189000,6110676
20260713,3033,威健,51.3,54.3,50.4,50.9,+,1.3,25713816,1348884261.0,7606000,0,-194137,13222000,0,362060,5616000,0,556197
