tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20251107,2801,彰銀,20.25,20.55,20.2,20.45,+,0.2,34618191,707631269.0,20986601,-1252000,238000,28797437,0,270000,7810836,1252000,32000
20251107,2867,三商壽,7.21,7.25,7.14,7.16,-,0.05,39190697,281850308.0,17413142,0,1084000,23652142,0,1088000,6239000,0,4000
20251107,1303,南亞,41.6,43.15,41.2,42.55,+,0.9,61106691,2603791799.0,10491105,5209231,2300186,25341000,5219000,4155623,14849895,9769,1855437
20251107,1301,台塑,37.35,39.1,37.1,38.6,+,1.25,25432935,977864629.0,10253963,0,808100,14659915,0,1138182,4405952,0,330082
20251107,1326,台化,28.4,29.55,27.9,29.1,+,0.7,20682356,599604530.0,10336369,0,460464,13566000,0,582787,3229631,0,122323
20251107,2337,旺宏,34.35,36.0,34.1,35.25,+,0.8,366874977,12901722211.0,10230630,3435000,-3573035,99230630,3455000,5603566,89000000,20000,9176601
20251107,2834,臺企銀,15.5,15.7,15.45,15.65,+,0.15,21066269,328821062.0,9545966,0,1481,11244100,0,7481,1698134,0,6000
20251107,2890,永豐金,26.4,26.7,26.3,26.6,+,0.15,22241002,587444027.0,7916541,1177000,-26286,18253036,1177000,92498,10336495,0,118784
20251107,00882,中信中國高股息,15.25,15.35,15.23,15.28,+,0.03,14714363,225132104.0,476000,0,8272496,482000,0,8934497,6000,0,662001
20251107,2633,台灣高鐵,27.65,28.25,27.6,28.0,+,0.35,9600435,269212495.0,7632685,0,-2719,8653485,0,25281,1020800,0,28000
20251107,8110,華東,26.5,28.85,26.45,28.85,+,2.6,167066827,4669833415.0,6359814,0,616535,35993870,0,687515,29634056,0,70980
20251107,6505,台塑化,47.5,50.8,47.0,50.0,+,2.15,22588686,1120303216.0,5609300,19523,1039536,8991600,26000,1964302,3382300,6477,924766
20251107,00830,國泰費城半導體,56.35,56.5,55.7,56.05,-,1.55,15270818,855677367.0,1629760,0,4280025,4251460,0,5308000,2621700,0,1027975
20251107,2344,華邦電,58.5,59.2,57.6,58.1,-,0.9,22850042,1335189993.0,5879244,-120000,78730,9975544,0,1917497,4096300,120000,1838767
20251107,2421,建準,160.5,168.5,159.5,168.5,+,15.0,20333368,3387165747.0,5376784,0,377415,8430150,0,499209,3053366,0,121794
20251107,4904,遠傳,94.0,95.5,92.8,95.5,+,2.0,8802025,835653915.0,4779430,144000,-39141,7687785,149000,105859,2908355,5000,145000
