tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20251224,00858,永豐美國500大,34.12,34.2,34.05,34.05,+,0.09,580000,19795300.0,-26000,0,-14709,0,0,212163,26000,0,226872
20251224,00877,復華中國5G,25.96,26.05,25.66,26.05,+,0.29,5952000,153920580.0,1106000,0,1309860,1349000,0,2478432,243000,0,1168572
20251224,00886,永豐美國科技,37.78,37.98,37.74,37.75,+,0.09,206000,7811380.0,0,0,-178739,0,0,2261,0,0,181000
20251224,00887,永豐中國科技50大,12.1,12.1,12.0,12.1,+,0.03,8972000,108271710.0,2700000,0,2802087,2718000,0,3109707,18000,0,307620
20251224,00888,永豐台灣ESG,19.95,19.99,19.88,19.9,-,0.01,758000,15099450.0,7000,0,35742,7000,0,514053,0,0,478311
20251224,00928,中信上櫃ESG 30,19.1,19.38,19.1,19.38,+,0.36,1281000,24664060.0,115000,0,782000,134000,0,1073000,19000,0,291000
20251224,00955,中信日本商社,13.15,13.15,13.04,13.06,-,0.08,6186000,80983580.0,-72000,0,-2177275,2000,0,1841000,74000,0,4018275
20251224,1268,漢來美食,159.0,160.0,158.5,159.5,+,1.0,44000,7012500.0,-3000,0,0,0,0,0,3000,0,0
20251224,1295,生合,89.3,89.7,88.0,88.6,-,1.2,53000,4699900.0,-24000,0,-730,4000,0,0,28000,0,730
20251224,1336,台翰,16.05,16.15,15.8,15.85,-,0.15,110000,1750650.0,-30000,0,-264,0,0,0,30000,0,264
20251224,1565,精華,118.0,118.0,117.0,117.5,,0.0,101000,11869500.0,-29000,0,0,15000,0,0,44000,0,0
20251224,1569,濱川,54.9,55.4,54.2,54.3,-,0.2,251000,13697300.0,-88000,0,3785,17000,0,4000,105000,0,215
20251224,1570,力肯,31.9,32.0,31.85,31.85,-,0.05,48000,1530650.0,2000,0,3,2000,0,3,0,0,0
20251224,1580,新麥,135.0,135.5,134.5,135.0,,0.0,15000,2025500.0,-1000,0,0,0,0,0,1000,0,0
20251224,1584,精剛,22.35,22.6,22.25,22.35,,0.0,339000,7595850.0,103739,0,-1512,135739,0,0,32000,0,1512
20251224,1586,和勤,25.8,26.0,25.4,25.4,-,0.3,197000,5054150.0,-44000,0,0,13000,0,0,57000,0,0
20251224,1591,駿吉-KY,49.65,50.4,49.35,49.4,-,0.2,68000,3390950.0,3000,0,-107,17000,0,1000,14000,0,1107
20251224,1593,祺驊,29.4,29.4,28.9,29.1,-,0.15,32000,929450.0,15000,0,0,17000,0,0,2000,0,0
20251224,1595,川寶,36.75,37.05,36.6,36.95,+,0.15,27000,992100.0,6000,0,0,6000,0,0,0,0,0
20251224,1599,宏佳騰,25.5,26.1,25.35,26.1,+,0.35,25000,639850.0,6000,0,0,6000,0,0,0,0,0
20251224,1777,生泰,73.5,73.9,73.5,73.9,,0.0,8000,589800.0,-7000,0,0,0,0,0,7000,0,0
20251224,1781,合世,11.25,11.3,11.15,11.15,-,0.15,57000,638350.0,-1000,0,0,0,0,0,1000,0,0
20251224,1784,訊聯,104.0,111.0,102.5,111.0,+,10.0,1936000,213476000.0,10646,0,76290,129000,0,140883,118354,0,64593
20251224,1785,光洋科,69.1,70.0,67.0,70.0,+,0.7,45747000,3136386100.0,2719820,468000,-324232,9257020,479000,241835,6537200,11000,566067
20251224,1799,易威,33.9,34.3,33.8,33.85,-,0.15,50000,1695250.0,-10000,0,0,4000,0,0,14000,0,0
20251224,1815,富喬,89.1,91.5,87.8,91.3,+,3.5,119947000,10792255100.0,10814812,1788000,92872,35491491,1788000,816401,24676679,0,723529
20251224,2061,風青,18.45,18.65,18.0,18.05,-,0.25,187000,3419750.0,12000,0,0,26000,0,0,14000,0,0
20251224,2063,世鎧,25.15,25.15,24.1,24.2,-,0.95,193000,4720900.0,9000,0,0,9000,0,0,0,0,0
20251224,2065,世豐,29.25,29.25,28.45,28.6,-,0.65,152000,4366300.0,14000,0,0,14000,0,5000,0,0,5000
20251224,2066,世德,50.0,50.0,49.75,49.75,+,0.05,20000,997400.0,1000,0,0,2000,0,0,1000,0,0
20251224,2067,嘉鋼,10.6,10.65,10.0,10.05,-,0.55,157000,1593200.0,-33000,0,-107,0,0,0,33000,0,107
20251224,2070,精湛,40.0,40.4,39.95,39.95,,0.0,93000,3737100.0,15000,0,0,27000,0,0,12000,0,0
20251224,2221,大甲,30.6,30.9,29.15,29.3,-,0.85,160000,4805650.0,-14000,0,0,12000,0,0,26000,0,0
20251224,2230,泰茂,96.9,97.0,94.7,95.0,-,1.2,204000,19449500.0,-45000,0,-10125,34000,0,10000,79000,0,20125
