tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20251212,00858,永豐美國500大,33.72,33.8,33.68,33.77,+,0.36,534000,18021230.0,-5000,0,372775,0,0,393734,5000,0,20959
20251212,00877,復華中國5G,25.01,25.13,24.42,24.92,-,0.11,8826000,218976780.0,379000,0,-339405,1696000,0,4205282,1317000,0,4544687
20251212,00886,永豐美國科技,37.04,37.54,37.04,37.54,+,0.5,527000,19701320.0,0,0,-492010,0,0,9000,0,0,501010
20251212,00887,永豐中國科技50大,11.94,11.97,11.78,11.88,-,0.03,10116000,120117730.0,-1182000,0,-153493,902000,0,3074379,2084000,0,3227872
20251212,00888,永豐台灣ESG,19.78,19.78,19.63,19.67,-,0.01,3054000,60129750.0,-10993,0,2664053,21007,0,2795428,32000,0,131375
20251212,00928,中信上櫃ESG 30,18.92,19.0,18.88,18.92,+,0.2,654000,12394760.0,-2000,0,322330,0,0,590330,2000,0,268000
20251212,00955,中信日本商社,13.18,13.22,13.14,13.21,+,0.31,5175000,68245410.0,-451000,0,-2662021,61000,0,183000,512000,0,2845021
20251212,1264,德麥,281.5,282.5,281.0,282.0,,0.0,33000,9279500.0,9000,0,0,11000,0,0,2000,0,0
20251212,1268,漢來美食,159.5,159.5,157.5,158.0,-,0.5,41000,6504500.0,3000,0,0,5000,0,0,2000,0,0
20251212,1294,漢田生技,78.6,79.6,77.6,78.5,-,0.9,40000,3137400.0,-8000,0,0,1000,0,0,9000,0,0
20251212,1295,生合,91.0,91.5,89.6,89.6,-,1.0,131000,11874000.0,-14000,0,0,42000,0,0,56000,0,0
20251212,1336,台翰,15.9,16.0,15.9,16.0,+,0.1,20000,319250.0,9000,0,0,10000,0,0,1000,0,0
20251212,1565,精華,119.0,120.0,118.0,120.0,+,1.5,103000,12264000.0,-42000,0,0,6000,0,0,48000,0,0
20251212,1569,濱川,54.9,56.8,54.9,55.9,+,1.4,1104000,61903700.0,91000,0,-252,249000,0,50,158000,0,302
20251212,1570,力肯,31.5,31.8,31.5,31.75,+,0.2,69000,2182500.0,8000,0,0,12000,0,0,4000,0,0
20251212,1580,新麥,135.5,136.0,135.5,136.0,,0.0,9000,1223000.0,-2000,0,0,1000,0,0,3000,0,0
20251212,1584,精剛,21.65,21.75,21.55,21.65,+,0.05,248000,5368100.0,47000,0,0,100000,0,0,53000,0,0
20251212,1586,和勤,26.65,27.35,26.65,26.85,+,0.35,629000,16962050.0,112000,0,0,138000,0,0,26000,0,0
20251212,1591,駿吉-KY,49.45,50.0,48.25,48.5,-,1.4,182000,8901000.0,-36000,0,-805,18000,0,0,54000,0,805
20251212,1593,祺驊,30.55,30.95,29.55,30.1,-,0.4,79000,2403900.0,-9000,0,0,1000,0,0,10000,0,0
20251212,1595,川寶,37.4,38.45,37.2,37.2,+,0.2,91000,3425550.0,15000,0,-1706,26000,0,294,11000,0,2000
20251212,1599,宏佳騰,25.55,25.9,25.5,25.7,+,0.2,8000,205150.0,0,0,0,1000,0,0,1000,0,0
20251212,1777,生泰,74.7,75.0,74.2,74.6,-,0.1,24000,1790600.0,-7000,0,1000,0,0,1000,7000,0,0
20251212,1781,合世,11.2,11.2,11.2,11.2,,0.0,11000,123200.0,1000,0,-3,2000,0,0,1000,0,3
20251212,1784,訊聯,100.0,106.0,99.9,101.5,+,1.9,734000,75615500.0,201000,0,44099,314000,0,49570,113000,0,5471
