tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260918,00858,永豐美國500大,35.77,35.82,35.73,35.82,+,0.22,209000,7474800.0,2000,0,124653,3000,0,157797,1000,0,33144
20260918,00877,復華中國5G,38.4,39.02,38.07,38.87,+,0.67,2930000,112985830.0,-78000,0,1123480,235000,0,1786889,313000,0,663409
20260918,00886,永豐美國科技,48.06,48.28,47.97,48.28,+,0.41,24000,1157790.0,0,0,3151,0,0,23151,0,0,20000
20260918,00887,永豐中國科技50大,15.86,16.07,15.82,16.01,+,0.22,3800000,60614120.0,354000,0,-219707,771000,0,677252,417000,0,896959
20260918,00888,永豐台灣ESG,35.38,35.61,35.17,35.39,+,0.81,11332000,400836310.0,1853974,0,4921168,2568050,0,5671281,714076,0,750113
20260918,00928,中信上櫃ESG 30,32.62,33.08,32.52,33.08,+,1.15,552000,18096340.0,6000,0,355449,15000,0,484519,9000,0,129070
20260918,00955,中信日本商社,16.49,16.49,16.31,16.33,-,0.23,5987000,98088480.0,91006,0,-1175800,307006,0,3028999,216000,0,4204799
20260918,1259,安心,64.5,68.0,63.6,68.0,+,3.5,90000,5918700.0,-1000,0,-4000,10000,0,12000,11000,0,16000
20260918,1264,德麥,244.0,246.0,244.0,244.0,-,0.5,14000,3424000.0,-3150,0,-395,10000,0,0,13150,0,395
20260918,1268,漢來美食,172.5,174.0,172.5,174.0,+,1.0,26000,4514000.0,-1000,0,0,7000,0,0,8000,0,0
20260918,1294,漢田生技,51.5,51.5,51.4,51.5,,0.0,7000,360400.0,0,0,-277,8000,0,0,8000,0,277
20260918,1295,生合,44.65,45.7,44.05,44.45,-,0.05,34000,1510700.0,-7000,0,0,4000,0,0,11000,0,0
20260918,1336,台翰,17.15,17.35,16.7,17.35,+,0.6,345000,5884900.0,90070,0,-18000,239072,0,0,149002,0,18000
20260918,1565,精華,97.5,98.0,95.5,98.0,+,1.5,236000,22735100.0,76000,0,-1720,137000,0,1000,61000,0,2720
20260918,1569,濱川,52.0,57.0,52.0,55.5,+,3.5,5164000,281868400.0,522045,0,28285,1575045,0,38286,1053000,0,10001
20260918,1570,力肯,32.2,32.5,32.0,32.3,-,0.3,45000,1447000.0,-4000,0,-28,94000,0,0,98000,0,28
20260918,1580,新麥,96.5,98.4,96.0,98.4,+,1.7,136000,13154100.0,34000,0,162,72000,0,1000,38000,0,838
20260918,1584,精剛,18.3,18.5,18.2,18.2,,0.0,549000,10064800.0,194629,0,0,329527,0,0,134898,0,0
20260918,1586,和勤,18.0,18.05,17.85,18.0,+,0.05,315000,5655450.0,125989,0,0,521000,0,0,395011,0,0
20260918,1591,駿吉-KY,39.1,42.9,39.1,41.7,+,2.3,554000,22796700.0,62367,0,-469,204831,0,1308,142464,0,1777
20260918,1593,祺驊,31.7,32.1,31.7,31.9,+,0.35,28000,895650.0,-1000,0,0,0,0,0,1000,0,0
20260918,1595,川寶,66.0,67.5,64.8,65.7,+,1.3,247000,16268300.0,95080,0,3084,455080,0,3084,360000,0,0
20260918,1599,宏佳騰,23.15,23.15,23.1,23.1,,0.0,10000,231400.0,-2000,0,0,0,0,0,2000,0,0
20260918,1777,生泰,73.5,74.3,73.3,74.3,+,0.4,38000,2803500.0,-2000,0,0,4000,0,0,6000,0,0
20260918,1780,立弘,25.15,25.35,24.8,25.15,,0.0,53000,1323900.0,-10000,0,0,2000,0,0,12000,0,0
20260918,1781,合世,9.95,10.15,9.92,10.15,+,0.1,22000,220790.0,0,0,-18,0,0,0,0,0,18
20260918,1784,訊聯,58.7,59.0,58.0,58.0,-,1.1,61000,3560700.0,-12000,0,64,109000,0,82,121000,0,18
20260918,1785,光洋科,97.1,97.7,95.5,96.8,+,0.8,4019000,388495000.0,-500947,3000,1009,1802053,3000,20000,2303000,0,18991
20260918,1788,杏昌,128.0,128.0,128.0,128.0,,0.0,16000,2048000.0,-1000,0,0,6000,0,0,7000,0,0
20260918,1796,金穎生技,29.8,29.8,29.5,29.6,+,0.1,11000,324950.0,-3000,0,-1,4000,0,0,7000,0,1
20260918,1799,易威,28.45,29.4,28.4,28.85,+,0.35,113000,3253750.0,21000,0,353,52000,0,1353,31000,0,1000
20260918,1813,寶利徠,11.25,11.35,11.25,11.35,,0.0,6000,67750.0,0,0,-52,0,0,1000,0,0,1052
20260918,1815,富喬,118.0,123.0,117.5,119.5,+,7.5,95458000,11601572000.0,11647126,-827000,920274,33832280,1989000,1897190,22185154,2816000,976916
20260918,2061,風青,52.9,54.0,51.9,52.4,,0.0,1967000,103581900.0,-206359,0,264,412189,0,2058,618548,0,1794
20260918,2064,晉椿,11.75,11.75,11.75,11.75,-,0.2,2000,23500.0,-1000,0,0,1000,0,0,2000,0,0
20260918,2065,世豐,35.25,35.45,35.05,35.15,-,0.1,66000,2322150.0,12000,0,0,14000,0,0,2000,0,0
20260918,2066,世德,53.8,53.8,52.3,52.7,+,0.4,73000,3840400.0,-1000,0,0,24000,0,0,25000,0,0
20260918,2070,精湛,62.1,62.4,61.5,61.6,-,0.1,76000,4700500.0,5040,0,110,69040,0,110,64000,0,0
20260918,2221,大甲,124.0,127.5,119.0,127.5,+,11.5,13517000,1661550000.0,245950,0,-24353,1961950,0,33775,1716000,0,58128
20260918,2230,泰茂,21.95,22.0,21.4,21.4,-,0.55,219000,4763050.0,-30800,0,-396,16000,0,1000,46800,0,1396
20260918,2596,綠意,35.05,35.15,34.7,35.1,+,0.4,46000,1609450.0,-4000,0,-2000,36000,0,0,40000,0,2000
20260918,2640,大車隊,172.5,176.0,169.0,170.5,-,1.5,83000,14287500.0,-27006,0,-838,17000,0,162,44006,0,1000
20260918,2641,正德,17.65,17.65,17.5,17.55,-,0.05,1322000,23256200.0,-543905,0,0,107000,0,0,650905,0,0
20260918,2643,捷迅,62.5,62.6,62.5,62.5,-,0.1,3000,187600.0,0,0,0,9000,0,0,9000,0,0
20260918,2718,全心投控,40.7,40.7,40.15,40.7,+,0.6,14000,565550.0,1000,2893,0,1000,2893,0,0,0,0
20260918,2719,燦星旅,19.5,19.8,19.5,19.5,,0.0,14000,274700.0,8000,0,-953,8000,0,47,0,0,1000
20260918,2726,雅茗-KY,8.13,8.13,8.0,8.05,-,0.05,16000,128580.0,0,0,0,23000,0,0,23000,0,0
20260918,2729,瓦城,156.0,157.0,155.5,156.5,+,2.0,63000,9856500.0,18000,0,243,18000,0,243,0,0,0
20260918,2732,六角,63.6,63.6,62.1,62.3,-,0.5,13000,812000.0,-1000,0,-614,11000,0,0,12000,0,614
20260918,2736,富野,11.5,11.55,11.35,11.4,,0.0,23000,262950.0,-2000,0,0,2000,0,0,4000,0,0
20260918,2743,山富,54.0,54.7,53.5,54.2,+,1.2,93000,5040400.0,53000,0,-264,64000,0,736,11000,0,1000
20260918,2745,五福,84.6,84.6,84.1,84.6,+,0.1,40000,3375400.0,16000,0,-7318,19000,0,1000,3000,0,8318
20260918,2752,豆府,180.0,180.0,178.0,178.0,-,2.0,19000,3410000.0,2000,0,0,6000,0,0,4000,0,0
20260918,2754,亞洲藏壽司,69.1,69.9,68.9,68.9,-,0.6,23000,1593900.0,-1000,0,0,1000,0,0,2000,0,0
20260918,2755,揚秦,98.3,98.4,98.2,98.4,+,0.1,10000,983100.0,3950,0,0,23000,0,0,19050,0,0
20260918,2756,聯發國際,62.2,62.5,62.2,62.3,-,0.7,24000,1493700.0,-6000,0,24,3000,0,24,9000,0,0
20260918,2916,滿心,40.65,40.65,40.55,40.55,-,0.1,11000,446400.0,0,0,0,47000,0,0,47000,0,0
20260918,2924,宏太-KY,17.95,17.95,17.95,17.95,+,0.5,1000,17950.0,0,0,0,2000,0,0,2000,0,0
20260918,2926,誠品生活,30.0,30.0,29.55,30.0,,0.0,21000,627200.0,12000,0,0,12000,0,0,0,0,0
20260918,3066,李洲,28.55,30.75,27.5,29.9,+,1.6,7953000,233118700.0,327323,0,-7193,3074126,0,9526,2746803,0,16719
20260918,3071,協禧,23.4,23.4,23.25,23.4,,0.0,118000,2754800.0,10000,0,0,104000,0,0,94000,0,0
20260918,3073,天方能源,20.9,20.9,20.0,20.55,-,0.3,52000,1059700.0,4000,0,-163,17000,0,137,13000,0,300
20260918,3078,僑威,44.55,45.0,44.5,44.5,-,0.1,801000,35772150.0,35637,32025,-30404,584671,32025,4000,549034,0,34404
20260918,3081,聯亞,2780.0,2915.0,2730.0,2880.0,+,160.0,3166000,8981620000.0,-142377,107535,10040,1076032,107535,106276,1218409,0,96236
20260918,3083,網龍,22.0,22.5,21.9,22.4,+,0.25,55000,1216700.0,34000,0,-174,35000,0,0,1000,0,174
20260918,3086,華義*,29.4,29.4,28.9,28.9,,0.0,73000,2124400.0,0,0,0,290000,0,0,290000,0,0
20260918,3088,艾訊,127.5,128.0,125.5,126.5,+,0.5,376000,47395500.0,-83066,0,1620,50422,0,5000,133488,0,3380
20260918,3093,港建*,44.25,45.05,44.2,44.75,+,0.6,146000,6502750.0,28001,0,-100,152001,0,0,124000,0,100
20260918,3095,及成,36.4,36.4,34.5,34.6,-,1.4,21000,730500.0,0,0,0,8000,0,0,8000,0,0
20260918,3105,穩懋,487.5,502.0,467.0,500.0,+,29.0,43288000,21083402500.0,8879551,235900,691966,20077183,235900,1535786,11197632,0,843820
20260918,3114,好德,30.6,31.25,30.6,31.15,+,0.8,180000,5578950.0,59166,0,155,113166,0,155,54000,0,0
20260918,3122,笙泉,24.5,24.5,24.2,24.3,-,0.15,14000,340350.0,0,0,129,1000,0,129,1000,0,0
20260918,3128,昇銳,20.4,21.15,20.2,20.45,+,0.2,209000,4315000.0,39000,0,2,58000,0,2,19000,0,0
20260918,3131,弘塑,2475.0,2475.0,2415.0,2445.0,+,50.0,203000,495200000.0,2345,3000,659,124520,3000,4886,122175,0,4227
20260918,3141,晶宏,95.4,95.9,92.9,93.7,-,0.7,3298000,309439500.0,-608900,0,-36563,1161100,0,13198,1770000,0,49761
20260918,3147,大綜,234.5,244.0,234.0,242.5,+,10.0,956000,230406500.0,203883,0,16208,423100,0,16262,219217,0,54
20260918,3152,璟德,222.5,224.0,220.0,224.0,+,4.5,62000,13764500.0,18975,0,-2000,85975,0,0,67000,0,2000
20260918,3158,嘉實,86.0,88.5,85.2,86.2,+,0.2,21000,1809500.0,-1000,0,0,0,0,0,1000,0,0
20260918,3162,精確,73.2,77.8,73.2,76.9,+,4.2,2559000,194532400.0,727257,0,15379,1518257,0,18586,791000,0,3207
20260918,3163,波若威,656.0,673.0,652.0,665.0,+,13.0,1747000,1159954000.0,-231299,0,-1445,553120,0,25080,784419,0,26525
20260918,3169,亞信,102.5,104.0,102.0,103.5,+,2.0,78000,8027500.0,26061,0,-479,32061,0,29,6000,0,508
20260918,3171,炎洲流通,59.4,59.8,59.4,59.6,+,0.3,21000,1249300.0,9000,0,4077,10000,0,5087,1000,0,1010
20260918,3176,基亞,40.0,40.0,38.2,38.2,-,1.7,1089000,42173550.0,-178987,0,7000,421301,0,7000,600288,0,0
20260918,3178,公準,64.0,69.0,63.6,69.0,+,6.2,1041000,71488500.0,77000,0,5668,132000,0,9946,55000,0,4278
20260918,3188,鑫龍騰,24.65,24.95,23.95,24.0,+,0.1,243000,5899650.0,-60000,0,0,169000,0,0,229000,0,0
20260918,3206,志豐,34.75,35.3,34.75,35.0,+,0.25,43000,1508800.0,5000,0,524,9000,0,3524,4000,0,3000
20260918,3207,耀勝,37.5,40.65,37.5,39.15,+,2.0,294000,11488750.0,63000,0,800,230000,0,1831,167000,0,1031
20260918,3211,順達,368.0,369.0,361.5,368.0,+,7.5,1570000,574245000.0,-3000,900,13699,405000,900,36658,408000,0,22959
20260918,3213,茂訊,125.0,125.0,123.5,124.5,+,0.5,76000,9437000.0,-8007,0,-2000,16203,0,0,24210,0,2000
20260918,3217,優群,128.5,130.5,128.0,130.5,+,2.5,237000,30666500.0,56178,0,-1610,116178,0,2580,60000,0,4190
20260918,3218,大學光,135.5,135.5,134.0,134.0,-,0.5,116000,15590500.0,-73367,-1241,52,14000,0,2000,87367,1241,1948
20260918,3219,倚強科,83.3,89.8,82.7,89.8,+,8.1,581000,51027100.0,131000,0,7388,182000,0,10388,51000,0,3000
20260918,3221,台嘉碩,47.75,48.0,47.05,47.5,+,0.4,603000,28594300.0,191480,0,-1662,623480,0,407,432000,0,2069
20260918,3224,三顧,33.3,33.6,31.9,32.0,-,1.3,112000,3606800.0,-28000,0,-75,40000,0,0,68000,0,75
20260918,3226,龍鋒,56.6,56.9,56.3,56.9,+,0.2,32000,1816800.0,3000,0,0,4000,0,0,1000,0,0
20260918,3227,原相,184.0,186.0,182.5,186.0,+,3.5,598000,110154500.0,39251,-109000,9938,333251,1000,14000,294000,110000,4062
20260918,3228,金麗科,165.5,168.5,164.5,167.0,+,3.0,168000,28031500.0,52722,0,-3984,111102,0,7530,58380,0,11514
20260918,3230,錦明,42.3,42.4,41.65,41.8,,0.0,260000,10889800.0,-115027,0,1,18973,0,1,134000,0,0
20260918,3232,昱捷,21.1,21.4,21.05,21.15,-,0.15,30000,636200.0,1000,0,0,4000,0,0,3000,0,0
20260918,3234,光環,178.5,185.0,175.0,180.0,+,3.0,2640000,473174500.0,-773070,0,226,468380,0,24000,1241450,0,23774
20260918,3236,千如,43.5,43.9,42.9,43.35,+,0.6,787000,34204200.0,295100,0,7484,427100,0,7486,132000,0,2
20260918,3252,海灣,15.3,15.35,15.25,15.3,-,0.05,62000,948500.0,-1000,0,571,9000,0,571,10000,0,0
20260918,3260,威剛,399.5,401.5,395.0,396.5,+,1.5,6708000,2660734500.0,-269840,155600,159600,1203680,155600,341058,1473520,0,181458
20260918,3264,欣銓,251.0,268.5,250.5,268.5,+,24.0,28853000,7521007000.0,-403703,-438000,1473110,9903338,276000,1857212,10307041,714000,384102
20260918,3265,台星科,173.0,182.0,171.5,180.0,+,12.0,2613000,463989000.0,1335821,0,66303,1574821,0,106963,239000,0,40660
20260918,3268,海德威,18.1,18.7,18.1,18.5,+,0.4,75000,1384200.0,3000,0,123,5000,0,123,2000,0,0
20260918,3272,東碩,13.95,14.1,13.9,14.1,+,0.1,15000,209050.0,1000,0,559,2000,0,1000,1000,0,441
20260918,3276,宇環,13.8,13.95,13.8,13.95,+,0.05,20000,277550.0,-4000,0,6,131000,0,7,135000,0,1
20260918,3284,太普高,21.1,21.1,20.15,20.35,+,0.5,191000,3923050.0,-25000,0,101,15000,0,126,40000,0,25
20260918,3285,微端,40.0,41.0,40.0,40.75,+,1.4,11000,445900.0,-1000,0,143,10000,0,143,11000,0,0
20260918,3287,廣寰科,42.3,42.35,41.7,42.35,+,3.85,984000,41632400.0,83000,0,2998,235000,0,2998,152000,0,0
20260918,3288,點晶,20.05,20.45,19.65,20.2,+,0.15,27000,541100.0,8000,0,0,9000,0,0,1000,0,0
20260918,3289,宜特,134.5,137.0,134.0,136.5,+,3.0,432000,58691500.0,133533,0,1444,386533,0,8785,253000,0,7341
20260918,3290,東浦,46.8,47.1,46.2,46.3,-,0.45,452000,20984700.0,-59000,0,-5897,879700,0,101003,938700,0,106900
20260918,3293,鈊象,725.0,729.0,714.0,729.0,+,4.0,4085000,2964858000.0,-289612,257000,-4081,3288892,257000,77000,3578504,0,81081
