tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260327,00858,永豐美國500大,31.49,31.49,31.31,31.4,-,0.31,942000,29529950.0,-18875,0,-532871,4125,0,269000,23000,0,801871
20260327,00877,復華中國5G,27.7,28.03,27.31,27.93,-,0.16,2421000,66927840.0,-17000,0,-662529,91000,0,839087,108000,0,1501616
20260327,00886,永豐美國科技,34.39,34.39,34.39,34.39,-,0.37,10000,343900.0,0,0,0,0,0,10000,0,0,10000
20260327,00887,永豐中國科技50大,12.25,12.37,12.11,12.32,,0.0,5141000,62913250.0,391000,0,472789,1169000,0,1517354,778000,0,1044565
20260327,00888,永豐台灣ESG,22.95,23.18,22.81,23.16,-,0.15,543000,12463980.0,-80000,0,-154229,18000,0,123340,98000,0,277569
20260327,00928,中信上櫃ESG 30,23.71,24.61,23.67,24.59,+,0.22,621000,15027720.0,-2000,0,112185,4000,0,548051,6000,0,435866
20260327,00955,中信日本商社,15.58,15.9,15.58,15.89,+,0.29,12633000,199144600.0,1304030,0,2241527,1640030,0,5295842,336000,0,3054315
20260327,1240,茂生農經,59.0,59.2,59.0,59.2,+,0.1,4000,236200.0,0,0,0,1000,0,0,1000,0,0
20260327,1264,德麥,279.5,280.0,279.0,279.5,,0.0,20000,5586000.0,0,0,0,9000,0,0,9000,0,0
20260327,1268,漢來美食,158.5,158.5,156.0,156.5,-,1.0,24000,3758500.0,-1000,0,0,0,0,0,1000,0,0
20260327,1294,漢田生技,80.6,81.9,80.3,81.9,+,0.8,19000,1537500.0,0,0,0,1000,0,0,1000,0,0
20260327,1295,生合,67.5,67.5,66.1,66.2,,0.0,15000,999800.0,-6000,0,-38,0,0,0,6000,0,38
20260327,1336,台翰,14.5,14.5,14.2,14.3,-,0.2,117000,1676600.0,-11000,0,0,0,0,0,11000,0,0
20260327,1565,精華,104.0,105.5,103.5,105.0,+,1.5,159000,16625500.0,25000,0,0,61000,0,0,36000,0,0
