tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260526,00858,永豐美國500大,35.95,35.96,35.84,35.92,-,0.02,433000,15543330.0,11140,0,148939,13140,0,160000,2000,0,11061
20260526,00877,復華中國5G,42.09,42.53,41.63,42.0,+,0.52,4463000,187623630.0,-82000,0,-866745,287000,0,1618196,369000,0,2484941
20260526,00886,永豐美國科技,43.89,43.89,43.78,43.89,-,0.09,22000,964220.0,0,0,2676,0,0,11022,0,0,8346
20260526,00887,永豐中國科技50大,17.64,17.87,17.53,17.69,+,0.18,11722000,207209840.0,-359000,0,-3119243,569000,0,1786088,928000,0,4905331
20260526,00888,永豐台灣ESG,33.71,33.82,33.17,33.48,+,0.32,5108000,171114330.0,-274121,0,-232268,847020,0,2001363,1121141,0,2233631
20260526,00928,中信上櫃ESG 30,39.1,39.67,38.23,38.73,+,0.23,1014000,39183080.0,6000,0,419366,90000,0,698233,84000,0,278867
20260526,00955,中信日本商社,15.55,15.55,15.45,15.46,-,0.09,7926000,122790410.0,-354930,0,415000,35190,0,2041000,390120,0,1626000
20260526,1240,茂生農經,57.5,57.7,57.5,57.7,,0.0,13000,748000.0,2000,0,0,2000,0,0,0,0,0
20260526,1264,德麥,272.0,272.0,271.0,271.0,-,1.0,16000,4343000.0,-8000,0,0,1000,0,0,9000,0,0
20260526,1268,漢來美食,170.5,171.0,167.5,168.5,-,1.0,49000,8304000.0,8000,0,0,16000,0,0,8000,0,0
20260526,1294,漢田生技,77.0,77.0,76.0,77.0,,0.0,23000,1759500.0,-1000,0,0,0,0,0,1000,0,0
20260526,1295,生合,51.7,51.7,50.9,51.4,+,1.1,62000,3183200.0,18000,0,0,28000,0,0,10000,0,0
20260526,1336,台翰,13.25,13.25,13.05,13.05,-,0.1,116000,1524950.0,-1000,0,0,3000,0,0,4000,0,0
20260526,1565,精華,93.1,93.6,92.6,93.6,+,0.3,169000,15711700.0,44000,0,-5298,68000,0,1000,24000,0,6298
20260526,1569,濱川,52.9,53.4,51.7,52.0,-,0.9,913000,47758700.0,13663,0,-11281,253663,0,0,240000,0,11281
20260526,1570,力肯,45.5,50.0,45.3,50.0,+,4.25,1116000,53777250.0,-38000,0,310,223000,0,3183,261000,0,2873
20260526,1580,新麥,121.5,122.0,121.0,122.0,,0.0,48000,5831500.0,-10000,0,0,2000,0,0,12000,0,0
20260526,1584,精剛,20.35,20.35,19.75,19.75,-,0.45,799000,15937850.0,-223000,0,-1018,121000,0,0,344000,0,1018
20260526,1586,和勤,22.1,22.4,21.75,22.3,+,0.15,455000,9998150.0,18901,0,0,42000,0,0,23099,0,0
20260526,1591,駿吉-KY,45.7,45.7,45.7,45.7,+,4.15,38000,1736600.0,-3000,0,0,0,0,0,3000,0,0
20260526,1593,祺驊,31.35,31.35,31.15,31.15,-,0.1,22000,688150.0,1000,0,0,1000,0,0,0,0,0
20260526,1595,川寶,97.0,101.5,89.6,100.5,+,4.5,4413000,418799900.0,275984,0,-1674,1227984,0,12165,952000,0,13839
20260526,1599,宏佳騰,23.1,23.5,23.1,23.5,+,0.15,34000,791300.0,5000,0,0,6000,0,0,1000,0,0
20260526,1742,台蠟,15.2,15.4,14.85,15.0,-,0.2,20000,301550.0,-1000,0,0,0,0,0,1000,0,0
20260526,1777,生泰,71.5,71.5,71.1,71.3,-,0.2,37000,2640600.0,1000,0,0,1000,0,0,0,0,0
20260526,1781,合世,10.9,10.9,10.65,10.85,-,0.05,7000,75200.0,-1000,0,-1,0,0,0,1000,0,1
20260526,1784,訊聯,69.5,69.5,67.0,67.4,-,2.1,658000,44532400.0,99115,0,-4732,195115,0,0,96000,0,4732
20260526,1785,光洋科,155.5,156.5,147.0,148.0,-,3.0,31144000,4705632500.0,-9146038,-114000,42089,3976022,0,364040,13122060,114000,321951
20260526,1788,杏昌,135.0,135.0,134.5,135.0,+,0.5,45000,6070000.0,0,0,0,4000,0,0,4000,0,0
20260526,1796,金穎生技,37.1,37.1,36.5,36.5,-,0.75,9000,329100.0,0,0,0,1000,0,0,1000,0,0
20260526,1799,易威,33.65,35.0,33.25,33.8,+,0.1,168000,5664050.0,47000,0,-90,63000,0,0,16000,0,90
20260526,1813,寶利徠,12.15,12.15,12.05,12.05,-,0.1,13000,157300.0,-1000,0,0,1000,0,0,2000,0,0
20260526,1815,富喬,110.0,114.0,108.0,108.0,-,1.0,63049000,6986626000.0,-3795365,-240123,62578,12591550,0,630655,16386915,240123,568077
20260526,2035,唐榮,27.65,28.15,27.65,28.15,-,0.2,2000,55800.0,0,0,7,0,0,7,0,0,0
20260526,2061,風青,30.95,32.2,30.0,32.2,+,2.9,8034000,255056650.0,624808,0,-1396,1795000,0,23534,1170192,0,24930
20260526,2063,世鎧,25.15,25.4,25.15,25.4,+,0.25,16000,403450.0,-1000,0,0,0,0,0,1000,0,0
20260526,2064,晉椿,13.15,13.4,13.15,13.4,+,0.1,27000,358300.0,1000,0,0,1000,0,0,0,0,0
20260526,2065,世豐,35.5,35.7,33.95,35.5,,0.0,217000,7681900.0,9000,0,-114,19000,0,10886,10000,0,11000
20260526,2066,世德,57.9,59.0,57.7,57.7,+,0.1,94000,5481000.0,18000,0,0,29000,0,0,11000,0,0
20260526,2067,嘉鋼,6.73,6.78,6.55,6.7,-,0.03,85000,563780.0,-11000,0,0,0,0,0,11000,0,0
20260526,2070,精湛,69.0,75.4,69.0,75.4,+,6.8,6620000,493889400.0,113104,0,439,1094205,0,14055,981101,0,13616
20260526,2221,大甲,45.0,45.0,42.8,43.4,-,0.95,460000,19925700.0,-19969,0,0,95031,0,0,115000,0,0
20260526,2230,泰茂,28.5,30.1,28.1,29.45,+,0.8,493000,14264350.0,84356,0,772,157356,0,2837,73000,0,2065
20260526,2596,綠意,27.35,27.5,27.15,27.4,+,0.05,134000,3666550.0,23000,0,0,29000,0,0,6000,0,0
20260526,2640,大車隊,166.0,166.0,162.0,162.5,,0.0,25000,4068500.0,5000,0,0,9000,0,0,4000,0,0
20260526,2641,正德,18.0,18.05,17.8,17.85,-,0.05,1451000,25952150.0,141000,0,-274,388000,0,0,247000,0,274
20260526,2643,捷迅,66.8,66.8,65.5,66.3,-,0.5,75000,4941800.0,-2000,0,0,1000,0,0,3000,0,0
20260526,2718,全心投控,45.1,45.25,44.8,45.1,-,0.05,61000,2744300.0,9000,0,0,17000,0,0,8000,0,0
20260526,2719,燦星旅,26.0,26.2,25.8,26.1,+,0.1,25000,651150.0,1000,0,0,4000,0,0,3000,0,0
20260526,2726,雅茗-KY,9.93,9.97,9.72,9.91,-,0.02,45000,443770.0,5000,0,0,5000,0,0,0,0,0
20260526,2729,瓦城,160.0,160.0,159.5,160.0,,0.0,21000,3359000.0,4000,0,0,5000,0,0,1000,0,0
20260526,2732,六角,64.3,64.3,63.7,64.0,-,0.5,44000,2817100.0,-5000,0,-33,5000,0,0,10000,0,33
20260526,2734,易飛網,15.5,15.5,15.15,15.2,-,0.15,110000,1672400.0,2000,0,0,3000,0,3000,1000,0,3000
20260526,2736,富野,12.35,12.35,12.15,12.2,,0.0,57000,696300.0,-3000,0,0,0,0,0,3000,0,0
20260526,2743,山富,66.8,68.4,66.8,67.7,+,0.9,101000,6809600.0,41001,0,3732,49001,0,4732,8000,0,1000
20260526,2745,五福,102.0,103.5,102.0,103.5,+,2.0,212000,21782000.0,43000,0,0,55000,0,0,12000,0,0
20260526,2752,豆府,172.0,173.0,172.0,173.0,+,0.5,31000,5347000.0,9000,0,0,12000,0,0,3000,0,0
20260526,2754,亞洲藏壽司,73.8,73.8,70.1,70.3,-,2.3,76000,5382300.0,2990,0,0,11000,0,0,8010,0,0
20260526,2755,揚秦,130.0,132.0,130.0,132.0,,0.0,23000,3008500.0,2361,0,0,6471,0,0,4110,0,0
20260526,2916,滿心,47.55,47.6,47.15,47.55,,0.0,242000,11452900.0,-6130,0,0,8000,0,0,14130,0,0
20260526,2926,誠品生活,36.05,36.05,35.8,35.9,-,0.15,5000,179750.0,1000,0,0,1000,0,0,0,0,0
20260526,2937,集雅社,47.5,47.75,47.15,47.75,+,0.25,11000,520600.0,1000,0,4000,1000,0,4000,0,0,0
20260526,2947,振宇五金,77.0,77.8,77.0,77.7,-,0.1,13000,1007900.0,2000,0,0,2000,0,0,0,0,0
20260526,3066,李洲,21.4,21.4,20.7,20.85,-,0.35,590000,12324650.0,19000,0,0,165000,0,0,146000,0,0
20260526,3071,協禧,32.2,33.55,31.35,33.55,+,2.0,2543000,82777400.0,288000,0,-15000,794000,0,0,506000,0,15000
20260526,3073,天方能源,20.45,20.45,19.8,20.2,-,0.05,144000,2898300.0,24000,0,0,30000,0,0,6000,0,0
20260526,3078,僑威,58.0,58.1,56.9,58.0,+,0.5,1154000,66348300.0,104426,0,14529,418000,0,20000,313574,0,5471
20260526,3081,聯亞,2960.0,3180.0,2825.0,3160.0,+,235.0,2812000,8437155000.0,249843,185478,1104,901872,203000,199186,652029,17522,198082
20260526,3083,網龍,27.2,27.2,26.65,26.95,-,0.2,140000,3762200.0,-11000,0,-403,5000,0,1000,16000,0,1403
20260526,3085,新零售,12.3,12.3,12.3,12.3,,0.0,1000,12300.0,0,0,352,0,0,352,0,0,0
20260526,3086,華義*,36.0,36.25,35.0,35.05,-,0.75,634000,22423950.0,62000,0,-1411,148000,0,5942,86000,0,7353
20260526,3088,艾訊,140.5,142.5,136.0,142.0,+,1.0,1962000,272891000.0,625940,0,2697,977440,0,23524,351500,0,20827
20260526,3093,港建*,56.0,59.6,53.9,58.4,+,2.4,3954000,226035300.0,-249000,0,14508,822000,0,18183,1071000,0,3675
20260526,3095,及成,45.55,45.55,44.05,45.2,-,0.35,42000,1873200.0,-5000,0,-999,1000,0,1,6000,0,1000
20260526,3105,穩懋,551.0,562.0,517.0,562.0,+,19.0,32575000,17597626000.0,3267388,169999,806675,11391661,355000,1458709,8124273,185001,652034
20260526,3114,好德,29.1,29.45,27.9,27.9,-,1.1,508000,14446200.0,-17872,0,0,37158,0,0,55030,0,0
20260526,3115,富榮綱,8.0,8.0,7.8,7.92,-,0.02,25000,197380.0,8000,0,0,18000,0,0,10000,0,0
20260526,3118,進階,33.3,33.7,33.1,33.65,+,0.35,44000,1469600.0,-1000,0,0,2000,0,0,3000,0,0
20260526,3122,笙泉,36.0,36.0,33.85,34.5,-,1.3,664000,22786950.0,-9000,0,0,138000,0,0,147000,0,0
20260526,3128,昇銳,24.75,24.75,23.8,23.85,-,0.65,174000,4176100.0,-40000,0,-1,22000,0,0,62000,0,1
20260526,3131,弘塑,3045.0,3205.0,3000.0,3115.0,+,195.0,936000,2938045000.0,-152944,248278,14542,303080,251000,61860,456024,2722,47318
20260526,3141,晶宏,78.7,82.0,75.8,79.2,+,0.7,6469000,510886400.0,-312168,0,-6551,1460118,0,20645,1772286,0,27196
20260526,3147,大綜,191.0,191.0,182.5,184.0,-,4.0,346000,63921500.0,-9925,0,1001,97075,0,2003,107000,0,1002
20260526,3152,璟德,204.0,207.5,194.0,202.5,+,3.0,4764000,963263500.0,-556922,0,77665,1413144,0,156089,1970066,0,78424
20260526,3162,精確,89.0,93.8,88.7,90.1,+,3.1,9532000,874817000.0,126706,0,-15000,2297000,0,30000,2170294,0,45000
20260526,3163,波若威,1215.0,1250.0,1150.0,1220.0,+,10.0,4195000,5058105000.0,-73248,210000,-57882,1075519,210000,99097,1148767,0,156979
20260526,3169,亞信,123.0,125.5,118.0,120.0,-,1.5,1008000,122179500.0,49171,0,9492,353171,0,13064,304000,0,3572
20260526,3171,炎洲流通,70.8,71.0,70.0,70.5,-,0.4,23000,1621700.0,-4000,0,1880,5000,0,2880,9000,0,1000
20260526,3176,基亞,36.5,36.6,35.35,36.15,+,0.25,681000,24501150.0,-36000,0,81,147000,0,1000,183000,0,919
20260526,3178,公準,75.5,75.5,71.1,74.3,+,1.0,352000,25894700.0,-35150,0,0,80000,0,0,115150,0,0
20260526,3188,鑫龍騰,23.2,23.35,22.85,22.95,-,0.2,476000,10956600.0,70000,0,743,108000,0,2000,38000,0,1257
20260526,3191,雲嘉南,19.95,19.95,19.95,19.95,+,1.8,478000,9536100.0,25000,0,-1943,25000,0,2057,0,0,4000
20260526,3205,佰研,53.3,54.2,53.2,53.3,,0.0,104000,5565300.0,14000,0,88,36000,0,88,22000,0,0
20260526,3206,志豐,37.0,38.15,36.75,36.85,-,0.95,171000,6328700.0,12000,0,3000,40000,0,3000,28000,0,0
20260526,3207,耀勝,62.1,64.7,61.8,63.0,+,2.3,1431000,90060900.0,-185000,0,-8608,241000,0,9000,426000,0,17608
20260526,3211,順達,450.5,469.0,448.0,469.0,+,42.5,15967000,7369489500.0,3927375,-29000,331908,6456705,0,814538,2529330,29000,482630
20260526,3213,茂訊,122.0,122.0,119.5,121.0,-,1.5,636000,76638000.0,30041,0,-2114,187041,0,1448,157000,0,3562
20260526,3217,優群,197.5,198.0,190.0,193.0,-,7.0,4083000,788723000.0,1261300,-1139000,-23655,1870300,0,60313,609000,1139000,83968
20260526,3218,大學光,129.0,129.5,128.0,128.5,-,0.5,259000,33245000.0,77000,-2409,418,124000,0,1970,47000,2409,1552
20260526,3219,倚強科,92.4,92.4,87.8,89.6,-,1.7,877000,78442900.0,21970,0,-18893,246970,0,12884,225000,0,31777
20260526,3221,台嘉碩,59.1,59.4,55.1,59.3,-,0.9,15109000,868376600.0,1241347,0,-64534,4681795,0,36464,3440448,0,100998
20260526,3224,三顧,41.05,41.55,40.5,40.85,-,0.2,116000,4733750.0,-22000,0,0,15000,0,0,37000,0,0
20260526,3227,原相,235.5,237.0,230.5,236.0,+,3.5,2653000,621315000.0,187079,-16000,121295,987277,0,138740,800198,16000,17445
20260526,3228,金麗科,236.0,236.0,219.5,220.0,-,10.0,1243000,278791500.0,-263050,0,-10789,103000,0,24616,366050,0,35405
20260526,3230,錦明,32.85,32.95,30.9,31.45,-,1.05,568000,17896000.0,31000,0,432,114000,0,3000,83000,0,2568
20260526,3232,昱捷,22.2,22.2,21.1,21.2,-,0.8,117000,2519950.0,-2000,0,0,10000,0,0,12000,0,0
