﻿資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260724,000218,1,0,0,0.00
20260724,000218,2,0,0,0.00
20260724,000218,3,0,0,0.00
20260724,000218,4,0,0,0.00
20260724,000218,5,0,0,0.00
20260724,000218,6,0,0,0.00
20260724,000218,7,0,0,0.00
20260724,000218,8,0,0,0.00
20260724,000218,9,0,0,0.00
20260724,000218,10,0,0,0.00
20260724,000218,11,0,0,0.00
20260724,000218,12,0,0,0.00
20260724,000218,13,0,0,0.00
20260724,000218,14,0,0,0.00
20260724,000218,15,1,422278902,100.00
20260724,000218,16,0,0,0.00
20260724,000218,17,1,422278902,100.00
20260724,000560,1,0,0,0.00
20260724,000560,2,0,0,0.00
20260724,000560,3,0,0,0.00
20260724,000560,4,0,0,0.00
20260724,000560,5,0,0,0.00
20260724,000560,6,0,0,0.00
20260724,000560,7,0,0,0.00
20260724,000560,8,0,0,0.00
20260724,000560,9,0,0,0.00
20260724,000560,10,0,0,0.00
20260724,000560,11,0,0,0.00
20260724,000560,12,0,0,0.00
20260724,000560,13,0,0,0.00
20260724,000560,14,0,0,0.00
20260724,000560,15,1,29700000,100.00
20260724,000560,16,0,0,0.00
20260724,000560,17,1,29700000,100.00
20260724,000708,1,0,0,0.00
20260724,000708,2,0,0,0.00
20260724,000708,3,0,0,0.00
20260724,000708,4,0,0,0.00
20260724,000708,5,0,0,0.00
20260724,000708,6,0,0,0.00
20260724,000708,7,0,0,0.00
20260724,000708,8,0,0,0.00
20260724,000708,9,0,0,0.00
20260724,000708,10,0,0,0.00
20260724,000708,11,0,0,0.00
20260724,000708,12,0,0,0.00
20260724,000708,13,0,0,0.00
20260724,000708,14,0,0,0.00
20260724,000708,15,1,20200000,100.00
20260724,000708,16,0,0,0.00
20260724,000708,17,1,20200000,100.00
20260724,000779,1,0,0,0.00
20260724,000779,2,0,0,0.00
20260724,000779,3,0,0,0.00
20260724,000779,4,0,0,0.00
20260724,000779,5,0,0,0.00
20260724,000779,6,0,0,0.00
20260724,000779,7,0,0,0.00
20260724,000779,8,0,0,0.00
20260724,000779,9,0,0,0.00
20260724,000779,10,0,0,0.00
20260724,000779,11,0,0,0.00
20260724,000779,12,0,0,0.00
20260724,000779,13,0,0,0.00
20260724,000779,14,0,0,0.00
20260724,000779,15,1,1150000000,100.00
20260724,000779,16,0,0,0.00
20260724,000779,17,1,1150000000,100.00
20260724,000815,1,0,0,0.00
20260724,000815,2,0,0,0.00
20260724,000815,3,0,0,0.00
20260724,000815,4,0,0,0.00
20260724,000815,5,0,0,0.00
20260724,000815,6,0,0,0.00
20260724,000815,7,0,0,0.00
20260724,000815,8,0,0,0.00
20260724,000815,9,0,0,0.00
20260724,000815,10,0,0,0.00
20260724,000815,11,0,0,0.00
20260724,000815,12,0,0,0.00
20260724,000815,13,0,0,0.00
20260724,000815,14,0,0,0.00
20260724,000815,15,1,2505407068,100.00
20260724,000815,16,0,0,0.00
20260724,000815,17,1,2505407068,100.00
20260724,000856,1,0,0,0.00
20260724,000856,2,0,0,0.00
20260724,000856,3,0,0,0.00
20260724,000856,4,0,0,0.00
20260724,000856,5,0,0,0.00
20260724,000856,6,0,0,0.00
20260724,000856,7,0,0,0.00
20260724,000856,8,0,0,0.00
20260724,000856,9,0,0,0.00
20260724,000856,10,0,0,0.00
20260724,000856,11,0,0,0.00
20260724,000856,12,0,0,0.00
20260724,000856,13,0,0,0.00
20260724,000856,14,0,0,0.00
20260724,000856,15,1,231800000,100.00
20260724,000856,16,0,0,0.00
20260724,000856,17,1,231800000,100.00
20260724,00400A,1,11935,3418711,0.17
20260724,00400A,2,71778,175560114,9.08
20260724,00400A,3,22243,192428259,9.95
20260724,00400A,4,7055,92864405,4.80
20260724,00400A,5,6847,131168762,6.78
20260724,00400A,6,5740,153647211,7.95
20260724,00400A,7,2701,98788073,5.11
20260724,00400A,8,2736,131847355,6.82
20260724,00400A,9,3959,303015542,15.67
20260724,00400A,10,1515,221183313,11.44
20260724,00400A,11,442,125702727,6.50
20260724,00400A,12,106,51907259,2.68
20260724,00400A,13,31,21750599,1.12
20260724,00400A,14,23,21439498,1.10
20260724,00400A,15,51,207918172,10.75
20260724,00400A,16,0,0,0.00
20260724,00400A,17,137162,1932640000,100.00
20260724,00401A,1,1383,349570,0.15
20260724,00401A,2,9809,23757193,10.31
20260724,00401A,3,2922,26261234,11.39
20260724,00401A,4,635,8470897,3.67
20260724,00401A,5,869,16906607,7.33
20260724,00401A,6,580,16071340,6.97
20260724,00401A,7,207,7714006,3.34
20260724,00401A,8,353,17382150,7.54
20260724,00401A,9,375,30864917,13.39
20260724,00401A,10,102,15728465,6.82
20260724,00401A,11,34,9723000,4.22
20260724,00401A,12,9,4162493,1.80
20260724,00401A,13,0,0,0.00
20260724,00401A,14,4,3645119,1.58
20260724,00401A,15,14,49358009,21.42
20260724,00401A,16,0,0,0.00
20260724,00401A,17,17296,230395000,100.00
20260724,00402A,1,2193,613519,0.08
20260724,00402A,2,27731,71930797,9.71
20260724,00402A,3,9461,84883387,11.46
20260724,00402A,4,2405,31991495,4.32
20260724,00402A,5,2970,57997626,7.83
20260724,00402A,6,2169,59910330,8.09
20260724,00402A,7,707,26343234,3.55
20260724,00402A,8,1159,57222327,7.73
20260724,00402A,9,1278,106125701,14.33
20260724,00402A,10,437,67828151,9.16
20260724,00402A,11,148,43276638,5.84
20260724,00402A,12,65,32737894,4.42
20260724,00402A,13,14,10205002,1.37
20260724,00402A,14,12,11682000,1.57
20260724,00402A,15,18,77378899,10.45
20260724,00402A,16,0,0,0.00
20260724,00402A,17,50767,740127000,100.00
20260724,00403A,1,57187,17134044,0.10
20260724,00403A,2,500225,1296303226,7.69
20260724,00403A,3,183269,1580542706,9.38
20260724,00403A,4,63817,844069466,5.00
20260724,00403A,5,62418,1197651101,7.10
20260724,00403A,6,53174,1427103363,8.47
20260724,00403A,7,24413,897289372,5.32
20260724,00403A,8,23648,1141424020,6.77
20260724,00403A,9,34916,2677514621,15.89
20260724,00403A,10,13327,1937899251,11.50
20260724,00403A,11,4245,1202699699,7.13
20260724,00403A,12,1035,514991924,3.05
20260724,00403A,13,300,213336298,1.26
20260724,00403A,14,235,222483000,1.32
20260724,00403A,15,358,1677576909,9.95
20260724,00403A,16,0,0,0.00
20260724,00403A,17,1022567,16848019000,100.00
20260724,00404A,1,1100,304910,0.08
20260724,00404A,2,12753,33286256,9.13
20260724,00404A,3,4706,42474834,11.65
20260724,00404A,4,1114,14879685,4.08
20260724,00404A,5,1498,29267340,8.03
20260724,00404A,6,1030,28324343,7.77
20260724,00404A,7,361,13352255,3.66
20260724,00404A,8,576,28296170,7.76
20260724,00404A,9,561,45317999,12.43
20260724,00404A,10,182,28067835,7.70
20260724,00404A,11,42,12639754,3.46
20260724,00404A,12,16,8125000,2.23
20260724,00404A,13,2,1325020,0.36
20260724,00404A,14,2,2000000,0.54
20260724,00404A,15,14,76633599,21.03
20260724,00404A,16,0,0,0.00
20260724,00404A,17,23957,364295000,100.00
20260724,00405A,1,6502,1954820,0.05
20260724,00405A,2,71818,189961949,5.75
20260724,00405A,3,30021,259857782,7.87
20260724,00405A,4,10960,145668084,4.41
20260724,00405A,5,11492,220467986,6.68
20260724,00405A,6,9995,269752124,8.17
20260724,00405A,7,4548,167252404,5.06
20260724,00405A,8,4844,234621753,7.10
20260724,00405A,9,7076,548133657,16.60
20260724,00405A,10,2826,415291194,12.58
20260724,00405A,11,941,268898138,8.14
20260724,00405A,12,202,101049000,3.06
20260724,00405A,13,82,57204688,1.73
20260724,00405A,14,54,51764000,1.56
20260724,00405A,15,102,368367421,11.16
20260724,00405A,16,0,0,0.00
20260724,00405A,17,161463,3300245000,100.00
20260724,00406A,1,2123,597887,0.05
20260724,00406A,2,25120,66674342,5.80
20260724,00406A,3,10553,94191577,8.20
20260724,00406A,4,3138,41732356,3.63
20260724,00406A,5,3918,76076893,6.62
20260724,00406A,6,3144,85885700,7.48
20260724,00406A,7,1315,48397053,4.21
20260724,00406A,8,1717,83692009,7.28
20260724,00406A,9,2483,197058177,17.16
20260724,00406A,10,1057,156975952,13.67
20260724,00406A,11,346,99051235,8.62
20260724,00406A,12,119,59729000,5.20
20260724,00406A,13,33,22880000,1.99
20260724,00406A,14,16,15302000,1.33
20260724,00406A,15,44,111480050,9.71
20260724,00406A,16,3,11662231,1.01
20260724,00406A,17,55126,1148062000,100.00
20260724,00407A,1,7127,2174762,0.07
20260724,00407A,2,77599,202877842,6.73
20260724,00407A,3,29946,258997884,8.59
20260724,00407A,4,10535,139696534,4.63
20260724,00407A,5,10252,196785553,6.53
20260724,00407A,6,9008,242051234,8.03
20260724,00407A,7,4048,148725368,4.93
20260724,00407A,8,3947,190871388,6.33
20260724,00407A,9,6100,469133604,15.57
20260724,00407A,10,2421,354945610,11.78
20260724,00407A,11,858,245594891,8.15
20260724,00407A,12,221,110952959,3.68
20260724,00407A,13,70,50211202,1.66
20260724,00407A,14,46,44303000,1.47
20260724,00407A,15,88,354417169,11.76
20260724,00407A,16,0,0,0.00
20260724,00407A,17,162266,3011739000,100.00
20260724,00408A,1,415,91605,0.05
20260724,00408A,2,4701,12023405,7.17
20260724,00408A,3,1539,14229288,8.48
20260724,00408A,4,280,3792396,2.26
20260724,00408A,5,566,11169599,6.66
20260724,00408A,6,317,8917257,5.31
20260724,00408A,7,100,3756250,2.24
20260724,00408A,8,272,13438000,8.01
20260724,00408A,9,275,24277200,14.48
20260724,00408A,10,90,15572000,9.28
20260724,00408A,11,31,9105000,5.43
20260724,00408A,12,15,7720000,4.60
20260724,00408A,13,2,1416000,0.84
20260724,00408A,14,11,10601661,6.32
20260724,00408A,15,11,31524339,18.80
20260724,00408A,16,0,0,0.00
20260724,00408A,17,8625,167634000,100.00
20260724,0050  ,1,1472082,417868872,1.93
20260724,0050  ,2,1302312,2956630651,13.68
20260724,0050  ,3,320143,2354652133,10.89
20260724,0050  ,4,128876,1595678210,7.38
20260724,0050  ,5,70283,1242963118,5.75
20260724,0050  ,6,64740,1596398995,7.38
20260724,0050  ,7,31057,1086529633,5.02
20260724,0050  ,8,17141,774698827,3.58
20260724,0050  ,9,28284,1941630837,8.98
20260724,0050  ,10,9174,1231119093,5.69
20260724,0050  ,11,2370,636707234,2.94
20260724,0050  ,12,434,209562836,0.96
20260724,0050  ,13,138,95761730,0.44
20260724,0050  ,14,58,52264854,0.24
20260724,0050  ,15,263,5412032977,25.05
20260724,0050  ,16,0,0,0.00
20260724,0050  ,17,3447355,21604500000,100.00
20260724,0051  ,1,8420,1530389,6.24
20260724,0051  ,2,4433,8821551,36.00
20260724,0051  ,3,473,3408646,13.91
20260724,0051  ,4,143,1771430,7.23
20260724,0051  ,5,71,1278694,5.21
20260724,0051  ,6,45,1144259,4.67
20260724,0051  ,7,19,663813,2.70
20260724,0051  ,8,12,545318,2.22
20260724,0051  ,9,16,1044361,4.26
20260724,0051  ,10,5,689337,2.81
20260724,0051  ,11,1,368953,1.50
20260724,0051  ,12,3,1667249,6.80
20260724,0051  ,13,2,1566000,6.39
20260724,0051  ,14,0,0,0.00
20260724,0051  ,15,0,0,0.00
20260724,0051  ,16,0,0,0.00
20260724,0051  ,17,13643,24500000,100.00
20260724,0052  ,1,132031,37366502,1.42
20260724,0052  ,2,247282,529889707,20.15
20260724,0052  ,3,49527,383931110,14.60
20260724,0052  ,4,16516,210686806,8.01
20260724,0052  ,5,8863,161647912,6.14
20260724,0052  ,6,7937,199243353,7.57
20260724,0052  ,7,3265,115533959,4.39
20260724,0052  ,8,1917,88497038,3.36
20260724,0052  ,9,2977,209072583,7.95
20260724,0052  ,10,843,114864627,4.36
20260724,0052  ,11,229,63752436,2.42
20260724,0052  ,12,46,22046193,0.83
20260724,0052  ,13,29,19880261,0.75
20260724,0052  ,14,16,14048147,0.53
20260724,0052  ,15,68,458539366,17.44
20260724,0052  ,16,0,0,0.00
20260724,0052  ,17,471546,2629000000,100.00
20260724,0053  ,1,5472,614951,11.20
20260724,0053  ,2,809,1514686,27.59
20260724,0053  ,3,74,600006,10.93
20260724,0053  ,4,12,154000,2.80
20260724,0053  ,5,13,249000,4.53
20260724,0053  ,6,5,137000,2.49
20260724,0053  ,7,3,103000,1.87
20260724,0053  ,8,3,145000,2.64
20260724,0053  ,9,4,273000,4.97
20260724,0053  ,10,1,135715,2.47
20260724,0053  ,11,2,514642,9.37
20260724,0053  ,12,0,0,0.00
20260724,0053  ,13,0,0,0.00
20260724,0053  ,14,0,0,0.00
20260724,0053  ,15,1,1047000,19.07
